hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
9134,663|23694,24368,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8534,1,http://www.reactome.org/biopax/96/48887#Catalysis3294
9135,4998|18906|24772,20487|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14564,1,http://www.reactome.org/biopax/96/48887#Catalysis6430
9136,17950|23546|25301,25297,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9758,1,http://www.reactome.org/biopax/96/48887#Catalysis4316
9139,10964|14834,10965,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6299,1,http://www.reactome.org/biopax/96/48887#Catalysis2375
9140,900|17751,901,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9303,1,http://www.reactome.org/biopax/96/48887#Catalysis3928
9141,5693|18750|23165,5694|23709,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15385,1,http://www.reactome.org/biopax/96/48887#Catalysis6705
9142,5607|23127,22856,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction15275,-1,http://www.reactome.org/biopax/96/48887#Control2937
9143,9388|24772,9389|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4441,1,http://www.reactome.org/biopax/96/48887#Catalysis1639
9145,2961|26110,26171,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12284,1,http://www.reactome.org/biopax/96/48887#Catalysis5729
9146,6128|24772,19016|19174|24855,2,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction968,1,http://www.reactome.org/biopax/96/48887#Catalysis369
9147,4733|4736|23052,4734,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14295,-1,http://www.reactome.org/biopax/96/48887#Control2697
9148,13239|24772|26087,24855|26095,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8752,1,http://www.reactome.org/biopax/96/48887#Catalysis3494
9149,2815|26157,2826|23832,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12019,1,http://www.reactome.org/biopax/96/48887#Catalysis5652
9150,14711|14712|24772,14714|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction4230,1,http://www.reactome.org/biopax/96/48887#Catalysis1568
9151,5090|13633|24772,5092|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14689,1,http://www.reactome.org/biopax/96/48887#Catalysis6480
9152,10887|10888|24772,10409|24855,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6237,-1,http://www.reactome.org/biopax/96/48887#Control1275
9153,17312|23582|26199,24045|24049,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8191,1,http://www.reactome.org/biopax/96/48887#Catalysis3021
9154,11932|15371,11928,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction7289,-1,http://www.reactome.org/biopax/96/48887#Control1430
9155,2930|12168,16426,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12234,1,http://www.reactome.org/biopax/96/48887#Control2284
9156,9168|24772|26080,24855|26123,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12460,1,http://www.reactome.org/biopax/96/48887#Catalysis5803
9157,3472|6759|23789,6760|23814,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12859,1,http://www.reactome.org/biopax/96/48887#Catalysis5964
9159,1441|25019|25801,25802|25803,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction10261,1,http://www.reactome.org/biopax/96/48887#Catalysis4770
9160,1251|25354|26175|26194|26198,23546|25353|26176,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9822,1,http://www.reactome.org/biopax/96/48887#Catalysis4372
9161,12860|22346,22868,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction3754,1,http://www.reactome.org/biopax/96/48887#Control781
9162,17744|26184,891,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction9291,1,http://www.reactome.org/biopax/96/48887#Catalysis3917
9163,2839|12349,21997,2,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12042,1,http://www.reactome.org/biopax/96/48887#Control2197
9164,17693|23360|23627|24715|26198,23546|24171|24717,5,3,http://www.reactome.org/biopax/96/48887#BiochemicalReaction8994,1,http://www.reactome.org/biopax/96/48887#Catalysis3675
9165,5026|11280|20508,5027,3,1,http://www.reactome.org/biopax/96/48887#BiochemicalReaction14614,-1,http://www.reactome.org/biopax/96/48887#Control2745
9166,8071|15473|23165,16437|23709,3,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction6550,1,http://www.reactome.org/biopax/96/48887#Catalysis2462
9167,3204|24772,3205|24855,2,2,http://www.reactome.org/biopax/96/48887#BiochemicalReaction12564,1,http://www.reactome.org/biopax/96/48887#Catalysis5849
