old_node_id,new_node_id
2557,1408
2558,1409
2559,1410
2560,1411
2561,1412
2562,1413
2563,1414
2564,1415
2565,1416
2566,1417
2567,1418
2568,1419
2569,1420
2571,1421
2572,1422
2573,1423
2574,1424
2581,1425
2583,1426
2584,1427
2586,1428
2587,1429
2588,1430
2590,1431
2591,1432
2592,1433
2593,1434
2594,1435
2595,1436
2596,1437
2597,1438
2598,1439
2599,1440
2600,1441
2601,1442
2602,1443
2608,1444
2609,1445
2610,1446
2611,1447
2612,1448
2614,1449
2615,1450
2616,1451
2617,1452
2618,1453
2619,1454
2620,1455
2621,1456
2622,1457
2625,1458
2628,1459
2630,1460
2631,1461
2632,1462
2633,1463
2634,1464
2636,1465
2637,1466
2640,1467
2641,1468
2642,1469
2643,1470
2645,1471
2646,1472
2647,1473
2648,1474
2649,1475
2650,1476
2651,1477
2652,1478
2653,1479
2654,1480
2655,1481
2656,1482
2657,1483
2658,1484
2660,1485
2661,1486
2662,1487
2663,1488
2664,1489
2665,1490
2666,1491
2667,1492
2668,1493
2670,1494
2673,1495
2674,1496
2675,1497
2676,1498
2677,1499
2678,1500
2679,1501
2680,1502
2682,1503
2683,1504
2684,1505
2685,1506
2686,1507
2687,1508
2689,1509
2690,1510
2691,1511
2692,1512
2693,1513
2694,1514
2695,1515
2696,1516
2697,1517
2699,1518
2702,1519
2703,1520
2704,1521
2705,1522
2706,1523
2707,1524
2708,1525
2710,1526
2711,1527
2712,1528
2713,1529
2714,1530
2716,1531
2717,1532
2718,1533
2719,1534
2720,1535
2721,1536
2722,1537
2723,1538
2725,1539
2726,1540
2729,1541
2730,1542
2731,1543
2734,1544
2735,1545
2737,1546
2738,1547
2739,1548
2740,1549
2741,1550
2742,1551
2744,1552
2745,1553
2748,1554
2751,1555
2753,1556
2754,1557
2756,1558
2757,1559
2758,1560
2759,1561
2761,1562
2762,1563
2763,1564
2770,1565
2777,1566
2781,1567
2782,1568
2784,1569
2785,1570
2786,1571
2787,1572
2788,1573
2790,1574
2791,1575
2792,1576
2793,1577
2794,1578
2796,1579
2803,1580
2805,1581
2806,1582
2807,1583
2809,1584
2810,1585
2811,1586
2812,1587
2813,1588
2814,1589
2815,1590
2816,1591
2817,1592
2823,1593
2824,1594
2825,1595
2826,1596
2827,1597
2828,1598
2829,1599
2830,1600
2832,1601
2836,1602
2841,1603
2842,1604
2843,1605
2845,1606
2846,1607
2847,1608
2848,1609
2849,1610
2850,1611
2851,1612
2852,1613
2856,1614
2857,1615
2859,1616
2860,1617
2861,1618
2875,1619
2876,1620
2877,1621
2878,1622
2880,1623
2882,1624
2883,1625
2884,1626
2889,1627
2890,1628
2891,1629
2892,1630
2893,1631
2899,1632
2900,1633
2901,1634
2902,1635
2903,1636
2904,1637
2910,1638
2911,1639
2917,1640
2918,1641
2919,1642
2920,1643
2921,1644
2927,1645
2969,1646
2981,1647
2982,1648
2985,1649
2986,1650
2988,1651
2989,1652
2990,1653
2991,1654
2992,1655
2993,1656
2994,1657
2995,1658
2996,1659
2997,1660
2998,1661
3000,1662
3002,1663
3004,1664
3005,1665
3009,1666
3010,1667
3011,1668
3012,1669
3013,1670
3014,1671
3015,1672
3016,1673
3030,1674
3032,1675
3033,1676
3035,1677
3045,1678
3046,1679
3047,1680
3048,1681
3049,1682
3050,1683
3051,1684
3052,1685
3054,1686
3055,1687
3060,1688
3063,1689
3064,1690
3068,1691
3072,1692
3073,1693
3075,1694
3079,1695
3080,1696
3087,1697
3088,1698
3089,1699
3090,1700
3091,1701
3092,1702
3093,1703
3094,1704
3095,1705
3097,1706
3107,1707
3113,1708
3115,1709
3116,1710
3117,1711
3118,1712
3120,1713
3122,1714
3123,1715
3124,1716
3125,1717
3126,1718
3127,1719
3128,1720
3129,1721
3130,1722
3132,1723
3133,1724
3136,1725
3137,1726
3143,1727
3147,1728
3148,1729
3149,1730
3156,1731
3159,1732
3160,1733
3161,1734
3162,1735
3163,1736
3164,1737
3165,1738
3172,1739
3173,1740
3174,1741
3175,1742
3176,1743
3187,1744
3193,1745
3194,1746
3202,1747
3203,1748
3207,1749
3222,1750
3223,1751
3225,1752
3228,1753
3231,1754
3232,1755
3234,1756
3236,1757
3238,1758
3249,1759
3250,1760
3251,1761
3252,1762
3253,1763
3254,1764
3255,1765
3264,1766
3265,1767
3266,1768
3267,1769
3269,1770
3270,1771
3271,1772
3272,1773
3273,1774
3274,1775
3275,1776
3276,1777
3277,1778
3278,1779
3279,1780
3280,1781
3281,1782
3282,1783
3283,1784
3284,1785
3285,1786
3292,1787
3293,1788
3295,1789
3296,1790
3297,1791
3298,1792
3299,1793
3300,1794
3301,1795
3302,1796
3303,1797
3305,1798
3306,1799
3307,1800
3308,1801
3312,1802
3313,1803
3317,1804
3321,1805
3328,1806
3329,1807
3335,1808
3336,1809
3337,1810
3338,1811
3339,1812
3340,1813
3343,1814
3344,1815
3351,1816
3352,1817
3355,1818
3357,1819
3358,1820
3363,1821
3364,1822
3365,1823
3368,1824
3369,1825
3370,1826
3372,1827
3376,1828
3378,1829
3379,1830
3380,1831
3381,1832
3382,1833
3383,1834
3385,1835
3386,1836
3398,1837
3399,1838
3400,1839
3404,1840
3405,1841
3406,1842
3407,1843
3408,1844
3409,1845
3411,1846
3412,1847
3413,1848
3414,1849
3429,1850
3435,1851
3436,1852
3437,1853
3442,1854
3443,1855
3449,1856
3452,1857
3459,1858
3460,1859
3477,1860
3486,1861
3487,1862
3490,1863
3500,1864
