hyperedge_id,source_nodes,target_nodes,source_size,target_size,reaction_id,sign,control_id
2864,14214|15702|16504,15704|15705|16422,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8149,1,http://www.reactome.org/biopax/96/48895#Control799
2865,11918|14323|15766,14793|15767,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8237,1,http://www.reactome.org/biopax/96/48895#Catalysis4243
2866,6746|6747|15939,6748|6749,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6368,1,http://www.reactome.org/biopax/96/48895#Catalysis2604
2867,7175|15551|16343,7173|16345|16475,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6930,1,http://www.reactome.org/biopax/96/48895#Catalysis3014
2868,4585|9556|14399,9557|15079,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5871,1,http://www.reactome.org/biopax/96/48895#Catalysis2405
2869,10449|14644|14793|16563,14645|16552,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6955,1,http://www.reactome.org/biopax/96/48895#Catalysis3036
2870,6202|15551|16418,6203|16475|16588,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5802,-1,http://www.reactome.org/biopax/96/48895#Control528
2871,10483|13927|14793|16572,14689|15079,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7036,1,http://www.reactome.org/biopax/96/48895#Catalysis3114
2872,2301|8093,8096,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1682,1,http://www.reactome.org/biopax/96/48895#Catalysis715
2873,11837|11849|13927,11848|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1042,1,http://www.reactome.org/biopax/96/48895#Catalysis452
2874,4357|7470|7489|7500|14088|14090|14098|16462,7507,8,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction631,1,http://www.reactome.org/biopax/96/48895#Control43
2875,5487|5491,5489,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5136,-1,http://www.reactome.org/biopax/96/48895#Control464
2876,7253|14430|14695,14688|14697,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7051,1,http://www.reactome.org/biopax/96/48895#Catalysis3127
2877,1613|12382,1607|12383,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1630,1,http://www.reactome.org/biopax/96/48895#Catalysis699
2878,1775|14246|16482,16477|16479,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2487,1,http://www.reactome.org/biopax/96/48895#Catalysis1153
2879,29|14084|14793|16563,15679|16552,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8134,1,http://www.reactome.org/biopax/96/48895#Catalysis4142
2880,2206|13927,2154|12825|12840|12841|12843|12844|14446,2,7,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2323,1,http://www.reactome.org/biopax/96/48895#Catalysis1095
2881,59|2027,60,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8184,1,http://www.reactome.org/biopax/96/48895#Catalysis4192
2882,9947|14108|14604,7795,3,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6526,1,http://www.reactome.org/biopax/96/48895#Catalysis2726
2883,6329|6331|13927,6332|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5912,-1,http://www.reactome.org/biopax/96/48895#Control551
2884,1210|11982|16409,11983,3,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1222,-1,http://www.reactome.org/biopax/96/48895#Control107
2885,7862|16482|16522,14530|15086,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7454,1,http://www.reactome.org/biopax/96/48895#Catalysis3511
2886,3774|12447|13837|13927,3775|14446,4,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3608,1,http://www.reactome.org/biopax/96/48895#Catalysis1661
2887,7449|7820|14430,7450|14693,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7604,1,http://www.reactome.org/biopax/96/48895#Catalysis3656
2888,2511|13094|16462,13095|16466,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2602,1,http://www.reactome.org/biopax/96/48895#Catalysis1212
2889,2942|14279,2943|14078,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction2900,1,http://www.reactome.org/biopax/96/48895#Catalysis1381
2890,11753|15594|15854,15568|15858|16588,3,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8345,1,http://www.reactome.org/biopax/96/48895#Catalysis4346
2891,7475|14793|15237|16563,14362|15238|16552,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7640,1,http://www.reactome.org/biopax/96/48895#Catalysis3692
2892,11588|15345,15309,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7732,1,http://www.reactome.org/biopax/96/48895#Catalysis3780
2893,433|1020,434,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8795,1,http://www.reactome.org/biopax/96/48895#Control858
2894,18|15673|16482,15674|16574,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8127,1,http://www.reactome.org/biopax/96/48895#Catalysis4135
2895,3438|13927,3439|14446,2,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3272,1,http://www.reactome.org/biopax/96/48895#Catalysis1526
2896,7866|15095|16482,14530|15097,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction7470,1,http://www.reactome.org/biopax/96/48895#Catalysis3527
2897,1078,1079|16574,1,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1097,1,http://www.reactome.org/biopax/96/48895#Catalysis481
2898,5404|13927|16299,13979|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction5059,1,http://www.reactome.org/biopax/96/48895#Catalysis2155
2899,5149|10745,5150,2,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction4830,1,http://www.reactome.org/biopax/96/48895#Catalysis2052
2900,262|14793|16563|16612,16397|16552|16611,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8524,1,http://www.reactome.org/biopax/96/48895#Catalysis4523
2903,6857|14107|14579,14580|15723,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction6501,1,http://www.reactome.org/biopax/96/48895#Catalysis2703
2904,3600|12079|13927,3596|14446,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction3434,-1,http://www.reactome.org/biopax/96/48895#Control312
2905,4644|9992|10779,4654,3,1,http://www.reactome.org/biopax/96/48895#BiochemicalReaction426,1,http://www.reactome.org/biopax/96/48895#Catalysis158
2906,11089|15422|15551|15568,14484|15575|15579,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction8601,1,http://www.reactome.org/biopax/96/48895#Catalysis4597
2907,11678|11680|16462,11681|16466,3,2,http://www.reactome.org/biopax/96/48895#BiochemicalReaction810,1,http://www.reactome.org/biopax/96/48895#Catalysis314
2908,968|11827|16328|16329,11828|16331|16332,4,3,http://www.reactome.org/biopax/96/48895#BiochemicalReaction1017,1,http://www.reactome.org/biopax/96/48895#Catalysis442
