old_node_id,new_node_id
1396,619
1397,620
1398,621
1399,622
1400,623
1401,624
1402,625
1403,626
1404,627
1405,628
1407,629
1408,630
1409,631
1410,632
1411,633
1412,634
1413,635
1415,636
1416,637
1417,638
1418,639
1422,640
1431,641
1432,642
1433,643
1434,644
1436,645
1437,646
1438,647
1439,648
1440,649
1441,650
1443,651
1444,652
1445,653
1446,654
1447,655
1448,656
1449,657
1450,658
1451,659
1457,660
1458,661
1459,662
1460,663
1463,664
1464,665
1467,666
1473,667
1474,668
1475,669
1476,670
1477,671
1478,672
1482,673
1483,674
1484,675
1485,676
1486,677
1488,678
1489,679
1490,680
1491,681
1493,682
1507,683
1508,684
1516,685
1518,686
1521,687
1522,688
1525,689
1526,690
1529,691
1533,692
1543,693
1549,694
1552,695
1556,696
1560,697
1561,698
1562,699
1566,700
1568,701
1576,702
1577,703
1579,704
1580,705
1581,706
1583,707
1584,708
1587,709
1589,710
1590,711
1591,712
1594,713
1595,714
1596,715
1598,716
1608,717
1609,718
1610,719
1611,720
1612,721
1616,722
1620,723
1621,724
1622,725
1625,726
1629,727
